07/30/2019 15:46:18: 


07/30/2019 15:46:18: *** BEGIN LOGFILE: ./logs/Crawler4IBK.20190730.log
07/30/2019 15:46:19: Crawler4IBK: Shutting down....
07/30/2019 15:46:19: Debug: Closing Log File
07/30/2019 15:47:21: 


07/30/2019 15:47:21: *** BEGIN LOGFILE: ./logs/Crawler4IBK.20190730.log
07/30/2019 15:47:22: Crawler4IBK: Shutting down....
07/30/2019 15:47:22: Debug: Closing Log File
07/30/2019 15:48:34: 


07/30/2019 15:48:34: *** BEGIN LOGFILE: ./logs/Crawler4IBK.20190730.log
07/30/2019 15:48:34: Crawler4IBK: Shutting down....
07/30/2019 15:48:34: Debug: Closing Log File
07/30/2019 15:49:17: 


07/30/2019 15:49:17: *** BEGIN LOGFILE: ./logs/Crawler4IBK.20190730.log
07/30/2019 15:50:27: 


07/30/2019 15:50:27: *** BEGIN LOGFILE: ./logs/Crawler4IBK.20190730.log
07/30/2019 15:56:56: 


07/30/2019 15:56:56: *** BEGIN LOGFILE: ./logs/Crawler4IBK.20190730.log
07/30/2019 15:59:42: 


07/30/2019 15:59:42: *** BEGIN LOGFILE: ./logs/Crawler4IBK.20190730.log
07/30/2019 16:00:14: 


07/30/2019 16:00:14: *** BEGIN LOGFILE: ./logs/Crawler4IBK.20190730.log
07/30/2019 16:01:04: 


07/30/2019 16:01:04: *** BEGIN LOGFILE: ./logs/Crawler4IBK.20190730.log
07/30/2019 16:01:04: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:04: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:04: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:04: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:04: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:04: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:05: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
07/30/2019 16:01:06: Crawler4IBK: Not Available Yet !!
